,name,tags
64,Контент-менеджер,"['Наполнение контентом', 'Грамотность', 'Грамотная речь', 'Adobe Photoshop', 'MS OFFICE EXCEL', 'администрирование сайта, групп и сообществ в социальных сетях']"
65,Пресс-секретарь/Журналист/Редактор/Специалист по связям с общественностью,[]
66,Журналист,"['Журналистика', 'Грамотность', 'Грамотная речь', 'Креативность', 'Ведение групп в социальных сетях', 'Копирайтинг', 'Поиск информации в интернет']"
67,Журналист / корреспондент,[]
68,Пресс-секретарь,"['Организация пресс-конференций', 'Написание текстов', 'PR', 'Наличие контактов с журналистами', 'PR первых лиц компании']"
69,Специалист по связям с общественностью (пресс-секретарь),"['Грамотная речь', 'Грамотность', 'Работа со СМИ', 'Написание текстов', 'Мониторинг СМИ']"
70,Главный редактор,[]
71,Журналист,"['Грамотная речь', 'Грамотность', 'Написание пресс-релизов', 'Мониторинг СМИ', 'Написание статей']"
72,Журналист-копирайтер / корректор,"['Написание статей', 'Написание текстов', 'Креативность', 'Грамотность', 'Корректура текстов']"
73,Журналист,"['Написание текстов', 'Поиск информации в интернет', 'Социальные сети']"
74,Журналист-копирайтер,"['Грамотная речь', 'Грамотность', 'Копирайтинг', 'SEO-копирайтинг', 'Написание текстов', 'Журналистика']"
75,Журналист / Корреспондент V1.ru,[]
76,Журналист,"['Грамотный русский язык', 'Деловое общение', 'Журналистика', 'Написание рекламных статей', 'Грамотность', 'Умение работать в коллективе', 'Рерайтинг', 'Копирайтинг']"
77,Журналист,"['Написание текстов', 'Грамотность', 'Креативность', 'Грамотная речь', 'Копирайтинг']"
78,PR-специалист,"['GR', 'Маркетинговые исследования', 'Маркетинговые коммуникации', 'Планирование маркетинговых кампаний', 'Продвижение бренда', 'Стратегический маркетинг', 'Креативность', 'Разработка маркетинговой стратегии', 'Деловая коммуникация', 'Подготовка презентаций', 'Наличие контактов с журналистами', 'Анализ эффективности PR', 'B2B маркетинг', 'B2C маркетинг', 'Маркетинговый анализ', 'Организаторские навыки']"
79,Ведущий PR менеджер,"['Формирование пула лояльных СМИ', 'Подготовка отчетов', 'Системное мышление', 'Анализ PR стратегии конкурентов', 'Организация PR кампаний', 'B2B', 'Написание статей', 'Деловые СМИ', 'Разработка PR стратегии']"
80,Журналист Корреспондент,[]
81,Стажер-журналист на радиостанцию,"['Грамотная речь', 'Грамотность', 'Поиск информации в интернет', 'Интервьюирование', 'умение общаться', 'умение работать в коллективе']"
82,Журналист-копирайтер,"['Грамотность', 'Грамотная речь', 'Написание текстов', 'Работа в команде', 'Написание статей']"
83,Журналист / собственный корреспондент,"['Написание текстов', 'Поиск информации в интернет', 'Журналистика']"
84,"Редактор газеты ""За Калужской Заставой""",['Грамотность']
85,Журналист-копирайтер,"['Копирайтинг', 'Написание текстов', 'SEO-копирайтинг', 'Написание пресс-релизов', 'Грамотность', 'Редактирование текстов', 'Многозадачность', 'Высокая скорость печати', 'Креативность', 'Деловая коммуникация']"
86,Журналист,[]
87,Журналист,"['Пользователь ПК', 'Грамотная речь', 'Грамотность', 'оформление документации', 'Работа с оргтехникой']"
88,Журналист-копирайтер,"['Пользователь ПК', 'Грамотность', 'Грамотная речь', 'Проведение опросов', 'Журналистика', 'Копирайтинг', 'Репортажная фотосъемка']"
89,Главный редактор сайта,"['Грамотность', 'Написание текстов', 'Креативность', 'Грамотная речь', 'Работа в команде', 'Редакторская деятельность', 'Руководство коллективом']"
90,Журналист / корреспондент,"['Пользователь ПК', 'Грамотная речь', 'Работа в команде', 'Поиск информации в интернет', 'Написание текстов']"
91,"Журналист ""Коммерсантъ""","['Написание текстов', 'Грамотность', 'Написание статей', 'Грамотная речь', 'Поиск информации в интернет']"
92,Корреспондент,"['Грамотная речь', 'Журналистика', 'Пользователь ПК', 'Работа в команде', 'Организаторские навыки', 'Деловая переписка', 'Телефонные переговоры', 'Работа с большим объемом информации', 'Грамотность']"
93,Журналист,"['Высокая скорость печати', 'Телефонные переговоры', 'Грамотная речь', 'переговоры с первыми лицами компаний', 'Аналитическое мышление']"
94,Собственный корреспондент,"['Написание текстов', 'Написание статей', 'Грамотность', 'Рерайтинг', 'Грамотная речь', 'Работа в команде', 'Мониторинг СМИ', 'Редакторская деятельность']"
95,Копирайтер/Райтер/Пишущий редактор,"['Написание текстов', 'Грамотность', 'Рерайтинг', 'Написание статей', 'Грамотная речь', 'Наполнение контентом']"
96,Корреспондент (Журналист),"['Журналистика', 'Написание статей', 'Написание текстов', 'Редакторская деятельность', 'Корректура текстов', 'Написание рекламных статей', 'Написание пресс-релизов', 'Наполнение контентом', 'Интервьюирование', 'Грамотная речь', 'Работа в команде']"
97,Практикант-копирайтер по разработке сценариев для кино и игр / сценарист (автор текстов),"['Написание сценариев', 'Копирайтинг', 'Написание текстов', 'Написание статей', 'C++', 'Литературное редактирование', 'Game Design', 'Gamedev']"
98,PR - менеджер,"['PR', 'Написание текстов', 'Организация пресс-конференций', 'Публичные выступления', 'PR первых лиц компании', 'Креативность', 'Грамотная речь', 'Медиа-мониторинг']"
99,Журналист,"['Телевидение', 'поиск инфоповодов', 'телевизионный журналист']"
100,PR-менеджер,"['PR', 'Написание текстов', 'Анализ PR стратегии конкурентов', 'Наличие контактов с журналистами', 'Медиа-мониторинг']"
101,Новостник на региональную ленту в A42.RU,"['Грамотная речь', 'Грамотность', 'Написание текстов', 'Поиск информации в интернет', 'Социальные сети', 'Удаленная работа']"
102,Собственный корреспондент,"['Написание текстов', 'Написание статей', 'Грамотность', 'Рерайтинг', 'Грамотная речь', 'Работа в команде', 'Мониторинг СМИ', 'Редакторская деятельность']"
103,Специалист по связям с общественностью,"['Написание текстов', 'Подготовка комментарие для прессы', 'Электронные СМИ', 'Взаимодействие с телевидением', 'Медиа-мониторинг']"
104,Журналист,[]
105,PR-специалист по международным отношениям,"['Английский\xa0— C1 — Продвинутый', 'Google Analytics', 'Написание пресс-релизов', 'Копирайтинг', 'SMM', 'Social Media Marketing']"
106,PR-менеджер,"['Организация пресс-конференций', 'Написание текстов', 'PR', 'Наличие контактов с журналистами', 'Анализ PR стратегии конкурентов']"
107,Корреспондент,"['Грамотность', 'Работа в команде', 'Написание статей', 'Работа с большим объемом информации', 'Internet', 'Креативность', 'Написание текстов']"
108,Собственный корреспондент,"['Написание текстов', 'Написание статей', 'Грамотность', 'Рерайтинг', 'Грамотная речь', 'Работа в команде', 'Мониторинг СМИ', 'Редакторская деятельность']"
109,Корреспондент,"['Написание текстов', 'Написание статей', 'Написание пресс-релизов', 'Интервьюирование', 'Грамотность', 'Работа со СМИ', 'Грамотная речь', 'Работа с большим объемом информации', 'Электронные СМИ']"
110,Журналист-редактор,"['Ведение переговоров', 'Деловое общение', 'Организаторские навыки', 'Грамотность', 'Написание статей', 'Написание пресс-релизов', 'Написание рекламных статей', 'Организация мероприятий', 'Журналистика', 'Грамотная речь', 'Литературное редактирование', 'Организация пресс-конференций', 'Редакторская деятельность', 'Редактирование', 'Литературная деятельность', 'Корректура текстов', 'Деловая переписка', 'Работа в команде', 'Телефонные переговоры', 'Работа на выставках']"
111,PR-менеджер,"['Написание текстов', 'PR', 'Наличие контактов с журналистами', 'Анализ PR стратегии конкурентов', 'PR первых лиц компании']"
112,Специалист по связям с общественностью,"['PR', 'Организация пресс-конференций', 'Медиа-мониторинг', 'Наличие контактов с журналистами', 'PR первых лиц компании']"
113,Пиар-менеджер,"['Грамотная речь', 'MS PowerPoint', 'Копирайтинг', 'Проведение презентаций', 'Креативность', 'Написание текстов', 'Грамотность', 'Canva']"
114,Редактор радио. Журналист.,"['Грамотная речь', 'Грамотность', 'Поиск информации в интернет', 'Аналитическое мышление', 'Корпоративная этика']"
115,Корреспондент,"['Грамотность', 'Журналистика', 'Репортажная фотосъемка', 'Инициативность', 'Социальные сети']"
116,PR-менеджер,"['Написание текстов', 'PR', 'Анализ PR стратегии конкурентов', 'Наличие контактов с журналистами', 'Формирование пула лояльных СМИ', 'Организация пресс-конференций']"
117,Специалист по PR,[]
118,Журналист,"['Грамотная речь', 'Работа в команде', 'Креативность', 'Грамотность', 'Творческое мышление']"
119,Журналист,[]
120,PR-менеджер,[]
121,Журналист,"['Английский\xa0— B1 — Средний', 'Креативность', 'Грамотность', 'Грамотная речь', 'Ответственность', 'Инициативность']"
122,PR-специалист,"['Написание текстов', 'PR', 'Анализ PR стратегии конкурентов', 'Антикризисные коммуникации', 'Медиа-мониторинг', 'Cоциальный маркетинг', 'Связи с общественностью', 'Грамотная письменная речь', 'Разработка PR стратегии', 'Формирование пула лояльных СМИ', 'Деловые СМИ', 'Наличие контактов с журналистами']"
123,Журналист в общественно-политический Telegram-канал,"['Написание текстов', 'Грамотность', 'Журналистика', 'Написание статей', 'Копирайтинг', 'Редактирование текстов', 'Наполнение контентом', 'Редакторская деятельность']"
124,Журналист,"['Грамотность', 'Грамотная речь', 'Поиск информации в интернет', 'Написание текстов']"
125,PR-менеджер,[]
126,Журналист-копирайтер,"['Грамотная речь', 'Грамотность', 'Написание текстов', 'Креативность', 'Google Docs']"
127,Журналист-новостник (сайты),[]
128,Журналист,"['Английский\xa0— B1 — Средний', 'Креативность', 'Грамотность', 'Грамотная речь', 'Ответственность', 'Инициативность']"
129,Редактор / руководитель проекта в b2b издание,"['Написание текстов', 'Пользователь ПК', 'Грамотная речь', 'Грамотность', '1С: Розница']"
130,PR менеджер,"['Информационная безопасность', 'Информационные технологии', 'Работа со СМИ', 'PR стратегия', 'Деловые СМИ', 'Копирайтинг', 'Организация деловых мероприятий', 'SMM']"
131,PR-менеджер/специалист по связи с общественностью,"['Английский\xa0— C1 — Продвинутый', 'Креативность', 'Грамотная речь', 'Грамотность', 'Деловая коммуникация']"
132,Пресс-секретарь,[]
133,Стажер в PR-агентство,"['Креативность', 'Английский язык', 'Работа в команде', 'Грамотная речь', 'Продвижение бренда', 'Маркетинговые коммуникации', 'Копирайтинг', 'Подготовка презентаций', 'Генерация идей', 'Маркетинг', 'Social Media Marketing', 'Работа с блогерами', 'Желание учиться', 'Digital Marketing', 'Организация стажировок']"
134,"Корреспондент в сетевое издание ""Воронежские новости""","['Написание статей', 'Написание пресс-релизов', 'Написание текстов', 'Журналистика', 'Рерайтинг']"
135,Руководитель отдела PR,"['Стратегия Развития', 'Управление репутацией', 'Управленческий опыт']"
136,Журналист MSK1.RU,"['Написание текстов', 'Грамотность', 'Креативность', 'Журналистика', 'Высокие коммуникативные навыки']"
